timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
31.01.2025 18:50:01;-0,695;1,791;2,536;-0,2381092;1,339343;2,327551
31.01.2025 18:50:02;-0,695;1,791;2,536;-0,2325132;1,333795;2,325627
31.01.2025 18:50:03;-0,695;1,791;2,536;-0,2255465;1,327664;2,320026
31.01.2025 18:50:04;-0,695;1,791;2,536;-0,2281122;1,329815;2,320299
31.01.2025 18:50:05;-0,695;1,791;2,536;-0,2293322;1,329689;2,323058
31.01.2025 18:50:06;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:07;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:08;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:09;-0,695;1,791;2,536;-0,2138224;1,313429;2,307976
31.01.2025 18:50:10;-0,695;1,791;2,536;-0,216223;1,315457;2,309515
31.01.2025 18:50:11;-0,695;1,791;2,536;-0,2075664;1,307923;2,306569
31.01.2025 18:50:12;-0,695;1,791;2,536;-0,2083893;1,308878;2,306377
31.01.2025 18:50:13;-0,695;1,791;2,536;-0,2159226;1,314149;2,31068
31.01.2025 18:50:14;-0,695;1,791;2,536;-0,2128464;1,317257;2,30576
31.01.2025 18:50:15;-0,695;1,791;2,536;-0,2170132;1,314076;2,309315
31.01.2025 18:50:17;-0,695;1,791;2,536;-0,2149623;1,311839;2,308246
31.01.2025 18:50:18;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:19;-0,695;1,791;2,536;-0,1996635;1,314223;2,30387
31.01.2025 18:50:20;-0,695;1,791;2,536;-0,2167187;1,316024;2,300219
31.01.2025 18:50:21;-0,695;1,791;2,536;-0,2284508;1,323685;2,301954
31.01.2025 18:50:22;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:23;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:24;-0,695;1,791;2,536;-0,2290567;1,323469;2,310624
31.01.2025 18:50:25;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:26;-0,695;1,791;2,536;-0,2152861;1,314008;2,303341
31.01.2025 18:50:27;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:28;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:29;-0,3566106;1,369551;2,79571;-0,210847;1,313987;2,312762
31.01.2025 18:50:30;-0,3438928;1,329731;2,800008;-0,2326287;1,334772;2,320875
31.01.2025 18:50:31;-0,3435343;1,331895;2,799131;-0,2158957;1,314837;2,313155
31.01.2025 18:50:32;-0,3423248;1,331881;2,79995;-0,2097965;1,310099;2,310211
31.01.2025 18:50:33;-0,3393441;1,32457;2,805686;-0,2605899;1,326197;2,490566
31.01.2025 18:50:34;-0,3382492;1,324718;2,80147;-0,2675013;1,336164;2,523236
31.01.2025 18:50:35;-0,3391971;1,319952;2,801751;-0,2610149;1,315454;2,517004
31.01.2025 18:50:36;-0,3369812;1,32243;2,803913;-0,4800594;1,638177;2,407045
31.01.2025 18:50:37;-0,3434356;1,321968;2,801718;-0,2540712;1,313684;2,473317
31.01.2025 18:50:38;-0,3380104;1,318215;2,802258;-0,2579237;1,31387;2,473684
31.01.2025 18:50:39;-0,695;1,791;2,536;-0,2673245;1,328288;2,476486
31.01.2025 18:50:40;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:41;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:42;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:43;-0,695;1,791;2,536;-0,2407336;1,341355;2,334955
31.01.2025 18:50:44;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:45;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:46;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:47;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:48;-0,5309374;1,353674;2,492278;-0,2007591;1,304953;2,309624
31.01.2025 18:50:49;-0,5298877;1,352434;2,490771;-0,2036236;1,30259;2,310969
31.01.2025 18:50:50;-0,5271286;1,352946;2,489813;-0,2044252;1,303044;2,310152
31.01.2025 18:50:51;-0,5271378;1,352374;2,490538;-0,2012595;1,301481;2,31046
31.01.2025 18:50:52;-0,5331647;1,358686;2,493633;-0,2021916;1,304801;2,314509
31.01.2025 18:50:53;-0,5293216;1,347868;2,486008;-0,2069844;1,303857;2,311651
31.01.2025 18:50:54;-0,695;1,791;2,536;-0,2020817;1,306661;2,315446
31.01.2025 18:50:55;-0,3801463;1,359976;2,782032;-0,2355642;1,346466;2,336733
31.01.2025 18:50:56;-0,3542018;1,330419;2,819534;-0,2295954;1,340671;2,32648
31.01.2025 18:50:57;-0,3542634;1,331033;2,820508;-0,2360712;1,347334;2,337382
31.01.2025 18:50:58;-0,3538983;1,332353;2,819075;-0,2455879;1,352577;2,336212
31.01.2025 18:50:59;-0,3523685;1,329308;2,822158;-0,2374512;1,349761;2,336726
31.01.2025 18:51:00;-0,3533891;1,328768;2,818631;-0,2071771;1,307971;2,316518
31.01.2025 18:51:01;-0,3548777;1,333079;2,818801;-0,2023016;1,307788;2,316779
31.01.2025 18:51:02;-0,3575641;1,335983;2,81886;-0,2165368;1,318953;2,317997
31.01.2025 18:51:03;-0,356234;1,333919;2,818852;-0,2215809;1,323085;2,315934
31.01.2025 18:51:04;-0,354813;1,333019;2,820084;-0,2163745;1,31766;2,313772
31.01.2025 18:51:05;-0,695;1,791;2,536;-0,2384877;1,325127;2,328986
31.01.2025 18:51:06;-0,695;1,791;2,536;-0,2172649;1,307777;2,321516
31.01.2025 18:51:07;-0,695;1,791;2,536;-0,2287264;1,332405;2,334315
